sample,trt,block,pot,days,no3,nh4,faa,tdn,doc,din,don,doc_don,don_din
15NSS_317,E,5,57,28,228.45,0.11,0.16,241.42,195.22,228.56,12.859999999999985,15.180404354587887,0.05626531326566322
15NSS_318,E,6,71,28,45.23,0.12,0.107,51.81,116.95,45.349999999999994,6.460000000000008,18.103715170278615,0.1424476295479605
15NSS_319,F,1,1,28,3.57,0.11,0.116,3.26,120.75,3.6799999999999997,0,NA,0
15NSS_320,F,2,14,28,131.03,0.11,0.186,125.21,212.85,131.14000000000001,0,NA,0
15NSS_321,F,3,27,28,24.12,0.12,0.1,24.45,113.69,24.240000000000002,0.2099999999999973,541.3809523809593,0.008663366336633551
15NSS_322,F,4,44,28,14.59,0.11,0.074,14.24,81.08,14.7,0,NA,0
15NSS_323,F,5,54,28,3.69,0.11,0.145,11.08,89.07,3.8,7.28,12.234890109890108,1.9157894736842107
15NSS_324,F,6,63,28,24.39,0.11,0.143,37.32,176.54,24.5,12.82,13.770670826833072,0.523265306122449
15NSS_325,G,1,7,28,103.46,0.11,0.152,101.86,176.34,103.57,0,NA,0
15NSS_326,G,2,23,28,98.08,0.11,0.126,96.67,143.7,98.19,0,NA,0
15NSS_327,G,3,31,28,8.8,0.11,0.084,7.15,92.52,8.91,0,NA,0
15NSS_328,G,4,39,28,233.82,0.11,0.164,231.6,197.62,233.93,0,NA,0
15NSS_329,G,5,51,28,10.18,0.12,0.089,16.96,91.18,10.299999999999999,6.660000000000002,13.690690690690687,0.646601941747573
15NSS_330,G,6,61,28,48.66,0.12,0.172,64.48,229.32,48.779999999999994,15.70000000000001,14.606369426751582,0.32185321853218557
15NSS_331,H,1,8,28,47.02,0.11,0.16,53.43,171.93,47.13,6.299999999999997,27.290476190476205,0.13367281985996174
15NSS_332,H,2,19,28,39.3,0.11,0.142,40.88,165.76,39.41,1.470000000000006,112.7619047619043,0.037300177619893585
15NSS_333,H,3,29,28,15.7,0.11,0.18,22.29,214.68,15.809999999999999,6.48,33.129629629629626,0.40986717267552186
15NSS_334,H,4,47,28,6.73,0.23,0.129,12.89,85.45,6.960000000000001,5.93,14.409780775716696,0.8520114942528734
15NSS_335,H,5,59,28,2.03,0.12,0.162,16.51,203.7,2.15,14.360000000000001,14.185236768802227,6.679069767441861
15NSS_336,H,6,65,28,182.6,0.11,0.147,178.52,125.9,182.71,0,NA,0
15NSS_337,I,1,3,28,15.14,0.11,0.111,14.94,127.81,15.25,0,NA,0
15NSS_338,I,2,20,28,13.63,0.11,0.122,17.1,160.46,13.74,3.360000000000001,47.755952380952365,0.24454148471615728
15NSS_339,I,3,25,28,91.64,0.12,0.143,91.91,154.28,91.76,0.14999999999999147,1028.5333333333917,0.0016346992153442837
15NSS_340,I,4,48,28,73.01,0.12,0.124,76.24,131.04,73.13000000000001,3.109999999999985,42.135048231511455,0.042527006700396344
15NSS_341,I,5,50,28,50.2,0.12,0.118,65.38,125.17,50.32,15.059999999999995,8.311420982735726,0.2992845786963433
15NSS_342,I,6,72,28,43.86,0.12,0.131,175.35,119.6,43.98,131.37,0.9104057242901727,2.9870395634379268
15NSS_343,J,1,12,28,93.79,0.11,0.112,90.18,133.11,93.9,0,NA,0
15NSS_344,J,2,18,28,46.33,0.11,0.091,46.51,87.22,46.44,0.07000000000000028,1245.999999999995,0.0015073212747631413
15NSS_345,J,3,36,28,44.13,0.12,0.096,46.51,107.79,44.25,2.259999999999998,47.69469026548677,0.05107344632768357
15NSS_346,J,4,46,28,3.69,0.12,0.077,11.08,94.41,3.81,7.27,12.986244841815681,1.9081364829396323
15NSS_347,J,5,60,28,39.71,0.12,0.12,53.62,143.45,39.83,13.79,10.402465554749819,0.3462214411247803
15NSS_348,J,6,69,28,67.86,0.12,0.147,76.24,109.77,67.98,8.259999999999991,13.28934624697338,0.1215063253898204
15NSS_349,K,1,5,28,34.05,0.11,0.139,39.59,174.58,34.16,5.430000000000007,32.151012891344344,0.15895784543325547
15NSS_350,K,2,21,28,73.94,0.12,0.119,79.37,133.99,74.06,5.310000000000002,25.233521657250463,0.07169862273832031
15NSS_351,K,3,33,28,121.36,0.11,0.125,111.81,107.52,121.47,0,NA,0
15NSS_352,K,4,37,28,37.56,0.12,0.105,37.43,107.7,37.68,0,NA,0
15NSS_353,K,5,52,28,55.03,0.12,0.142,71.72,155.98,55.15,16.57,9.413397706698852,0.300453309156845
15NSS_354,K,6,66,28,18.04,0.12,0.148,30.08,159.11,18.16,11.919999999999998,13.34815436241611,0.6563876651982378
15NSS_355,L,1,4,28,4.24,0.12,0.122,6.72,163.11,4.36,2.3599999999999994,69.11440677966104,0.5412844036697246
15NSS_356,L,2,16,28,63.45,0.11,0.102,65.53,114.58,63.56,1.9699999999999989,58.16243654822338,0.030994336060415337
15NSS_357,L,3,34,28,2.86,0.11,0.098,5.86,156.05,2.9699999999999998,2.8900000000000006,53.99653979238754,0.9730639730639733
15NSS_358,L,4,45,28,7.69,0.12,0.106,19.68,177.73,7.8100000000000005,11.87,14.973041280539174,1.5198463508322662
15NSS_359,L,5,49,28,0,0.12,0.069,5.19,69.94,0.12,5.07,13.794871794871794,42.25000000000001
15NSS_360,L,6,67,28,15.14,0.12,0.094,20.58,110.88,15.26,5.3199999999999985,20.8421052631579,0.3486238532110091
15NSS_361,A,1,11,35,0.78,0.11,0.213,37.45,486.36,0.89,36.56,13.303063457330415,41.07865168539326
15NSS_362,A,2,24,35,0.3,0.1,0.107,9.74,142.31,0.4,9.34,15.23661670235546,23.349999999999998
15NSS_363,A,3,30,35,0.14,0.1,0.087,4.97,102.67,0.24000000000000002,4.7299999999999995,21.706131078224104,19.70833333333333
15NSS_364,A,4,42,35,0.38,0.1,0.104,10.22,156.19,0.48,9.74,16.035934291581107,20.291666666666668
15NSS_365,A,5,53,35,0.3,0.1,0.134,13.57,201.87,0.4,13.17,15.328018223234624,32.925
15NSS_366,A,6,68,35,0.66,0.1,0.137,8.16,126.88,0.76,7.4,17.145945945945943,9.736842105263158
15NSS_367,B,1,9,35,0.98,0.11,0.157,17.87,245.8,1.09,16.78,14.648390941597139,15.394495412844037
15NSS_368,B,2,13,35,0.58,0.1,0.198,26.47,298.75,0.6799999999999999,25.79,11.583947266382319,37.9264705882353
15NSS_369,B,3,28,35,0.34,0.1,0.107,8.79,137.36,0.44000000000000006,8.35,16.450299401197608,18.977272727272723
15NSS_370,B,4,38,35,0.22,0.1,0.131,12.13,192.85,0.32,11.81,16.329381879762913,36.90625
15NSS_371,B,5,58,35,0.5,0.1,0.171,19.78,275.5,0.6,19.18,14.363920750782064,31.96666666666667
15NSS_372,B,6,70,35,0.62,0.11,0.123,15.54,232.76,0.73,14.809999999999999,15.716407832545578,20.28767123287671
15NSS_373,C,1,10,35,0.34,0.11,0.163,18.82,254.95,0.45,18.37,13.878606423516603,40.82222222222222
15NSS_374,C,2,15,35,0.74,0.45,0.086,7.36,104.66,1.19,6.17,16.962722852512155,5.184873949579832
15NSS_375,C,3,32,35,0.62,0.1,0.194,28.85,403.54,0.72,28.130000000000003,14.345538570920725,39.06944444444445
15NSS_376,C,4,40,35,1.01,0.11,0.195,15,203.7,1.12,13.879999999999999,14.675792507204612,12.39285714285714
15NSS_377,C,5,55,35,0.14,0.1,0.08,5.45,113.57,0.24000000000000002,5.21,21.79846449136276,21.708333333333332
15NSS_378,C,6,64,35,0.42,0.1,0.074,4.23,73.41,0.52,3.7100000000000004,19.78706199460916,7.134615384615385
15NSS_379,D,1,6,35,0.42,0.1,0.152,16.91,246.14,0.52,16.39,15.017693715680291,31.51923076923077
15NSS_380,D,2,22,35,0.66,0.1,0.082,5.45,90.78,0.76,4.69,19.356076759061832,6.171052631578948
15NSS_381,D,3,26,35,0.34,0.1,0.066,4.49,79.19,0.44000000000000006,4.05,19.553086419753086,9.204545454545453
15NSS_382,D,4,43,35,0.62,0.1,0.078,4.58,60.65,0.72,3.8600000000000003,15.71243523316062,5.361111111111112
15NSS_383,D,5,56,35,10.72,0.1,0.134,22.17,177.99,10.82,11.350000000000001,15.681938325991188,1.0489833641404807
15NSS_384,D,6,62,35,0.86,0.1,0.066,5.21,89.23,0.96,4.25,20.99529411764706,4.427083333333334
15NSS_385,E,1,2,35,1.65,0.1,0.161,21.21,272.52,1.75,19.46,14.00411099691675,11.120000000000001
15NSS_386,E,2,17,35,0.5,0.1,0.097,7.83,129.43,0.6,7.23,17.90179806362379,12.05
15NSS_387,E,3,35,35,0.22,0.1,0.104,8.79,139.34,0.32,8.469999999999999,16.451003541912634,26.468749999999996
15NSS_388,E,4,41,35,0.3,0.1,0.083,6.88,130.42,0.4,6.4799999999999995,20.126543209876544,16.2
15NSS_389,E,5,57,35,4.86,0.1,0.172,21.21,214.68,4.96,16.25,13.211076923076924,3.276209677419355
15NSS_390,E,6,71,35,0.82,0.1,0.088,7.67,123,0.9199999999999999,6.75,18.22222222222222,7.336956521739131
15NSS_391,F,1,1,35,0.3,0.1,0.11,10.22,154.21,0.4,9.82,15.703665987780042,24.55
15NSS_392,F,2,14,35,2.44,0.1,0.246,30.29,354.91,2.54,27.75,12.78954954954955,10.9251968503937
15NSS_393,F,3,27,35,0.3,0.1,0.12,10.7,158.17,0.4,10.299999999999999,15.356310679611651,25.749999999999996
15NSS_394,F,4,44,35,0.26,0.1,0.052,2.58,59.56,0.36,2.22,26.82882882882883,6.166666666666668
15NSS_395,F,5,54,35,0.22,0.1,0.062,3.53,62.24,0.32,3.21,19.389408099688474,10.03125
15NSS_396,F,6,63,35,1.53,0.1,0.107,9.15,133.67,1.6300000000000001,7.5200000000000005,17.775265957446805,4.613496932515337
15NSS_397,G,1,7,35,0.98,0.1,0.171,19.78,271.97,1.08,18.700000000000003,14.543850267379678,17.314814814814817
15NSS_398,G,2,23,35,1.25,0.1,0.07,6.4,90.78,1.35,5.050000000000001,17.976237623762373,3.740740740740741
15NSS_399,G,3,31,35,0.5,0.1,0.07,5.45,86.12,0.6,4.8500000000000005,17.756701030927832,8.083333333333334
15NSS_400,G,4,39,35,12.15,0.1,0.111,21.21,165.11,12.25,8.96,18.427455357142858,0.7314285714285715
15NSS_401,G,5,51,35,0.38,0.1,0.09,7.36,120.51,0.48,6.880000000000001,17.515988372093023,14.333333333333336
15NSS_402,G,6,61,35,0.94,0.1,0.229,34.22,528.94,1.04,33.18,15.941531042796868,31.903846153846153
15NSS_403,H,1,8,35,1.73,0.1,0.143,7.83,96.73,1.83,6,16.121666666666666,3.278688524590164
