IDx	Year	IgATot	IgAKLH	IgMKLH	IgATc	IgGTc	ANAnc	Weight	FEC	Age	SURV
134	2001	0.7837	0.0220	0.7901	0.2184	0.5555	0.2965	19.7	0	2	0
135	2001	1.2160	0.0492	0.6662	0.3445	1.6940	0.046	22.1	0	2	1
136	2001	1.4394	0.1008	0.7371	0.7280	1.1194	0.093	19.1	0	2	0
137	2001	1.3971	0.1521	1.1661	0.5130	1.2486	0	21.3	200	2	0
138	2001	1.0970	0.0584	0.6818	0.3565	1.1816	0	17.9	NA	2	0
139	2004	1.6727	0.5844	0.5722	1.2537	0.6335	0.19	21.45	100	5	1
140	2001	1.5347	0.0854	0.9948	0.4632	1.5639	0.032	20.1	300	2	0
141	2004	1.4292	0.1437	1.0598	1.1921	1.4237	0.2435	24.6	0	5	1
142	2001	0.9082	0.0195	0.8366	0.3008	1.0225	0.004	21.8	0	2	1
143	2001	1.6509	0.1223	1.2260	0.9716	1.6133	0.4305	21.5	0	2	0
144	2001	1.4749	0.0519	0.7321	0.4104	1.4675	0.2375	17.2	300	2	1
145	2001	1.4229	0.1285	0.8464	0.7915	1.1711	0.1535	21	0	2	1
146	2001	1.4098	0.1264	0.6827	0.5517	0.9919	0.09	21.1	300	2	0
147	2004	1.4845	0.1640	0.9773	0.7094	1.5176	0.252	23.45	0	5	1
148	2001	1.3854	0.1559	1.1756	0.4721	1.1863	0.2165	17.6	0	2	0
149	2001	1.4606	0.1099	0.5633	1.0125	0.8637	0.241	22.7	200	2	0
150	2001	1.4013	0.0580	1.0264	0.6911	1.0157	0.4	20.6	0	2	1
151	2001	1.7518	0.4058	0.4905	0.7752	1.2947	0.0735	15.7	NA	2	1
152	2004	1.2395	0.0298	0.3985	0.6108	1.1361	0.4985	19.1	NA	5	1
153	2001	1.8241	0.1418	0.5703	0.7988	1.1960	0.0475	23.7	0	5	1
154	2004	1.3367	0.0798	0.8097	0.6764	1.0626	0.334	21.3	0	4	1
155	2004	1.0079	0.0851	0.9965	0.5964	1.5167	0.637	19	0	4	1
156	2004	1.0207	0.1001	1.3063	0.7731	0.8960	0.3165	25	0	4	1
157	2004	1.4215	0.2607	0.9273	0.8919	1.2210	0.357	23.6	0	4	0
158	2004	1.8002	0.5483	0.7534	1.8491	0.9977	0.351	21.15	0	4	1
159	2004	1.6469	0.2700	0.9354	1.5686	0.9547	0.148	23.7	0	4	1
160	2004	1.6663	0.2004	1.0609	0.5337	1.4994	0.3215	27.8	0	4	1
161	2004	1.4144	0.0788	0.9926	0.7277	0.9278	0.225	21.55	0	4	1
162	2004	1.7742	0.3638	1.1264	1.4201	1.3821	0.3965	23.55	0	4	1
163	2004	1.0387	0.0265	0.6999	0.5474	1.1332	0.2125	21.15	200	4	1
164	2004	1.6370	0.3972	1.2632	1.3070	1.6925	0.231	24.6	200	4	1
165	2004	1.2391	0.0668	1.4136	0.8684	1.9203	0.5265	22.3	0	4	1
166	2004	1.5145	0.1540	0.5964	1.0204	0.7612	0.298	24.2	0	4	1
167	2004	1.7642	0.1503	0.7510	1.3633	1.6016	0.3805	17.65	0	4	1
168	2004	1.1526	0.0682	0.6489	0.6118	1.3808	0.5545	17.15	0	4	1
169	2004	1.7569	0.3539	0.7826	1.4691	1.4425	0.22	22.8	0	4	1
170	2004	1.6240	1.0564	0.7045	1.5221	1.3460	0.22	NA	200	4	1
171	2004	0.9729	0.0206	0.7940	0.3624	1.6417	0.4165	19.45	100	3	1
172	2004	1.8832	0.7487	1.1893	1.7847	1.2685	0.423	17.4	0	3	1
173	2004	1.6523	0.1885	1.2495	1.3435	1.2472	0.272	26.35	100	3	1
174	2004	1.3408	0.0381	1.4081	1.1180	0.9729	0.2295	21.75	100	4	1
175	2004	0.9793	0.1182	1.0569	0.5911	1.1539	0.0905	16.6	400	2	0
176	2004	1.4920	0.0981	1.0146	0.6492	1.9497	0.411	17.75	400	2	1
177	2004	1.0073	0.0461	0.8868	0.2131	1.2681	0.135	19.95	400	2	1
178	2004	1.1490	0.2723	1.2960	0.7785	1.1877	0.2945	17.15	0	2	1
179	2004	1.7085	0.1770	1.2190	0.5865	1.3419	0.221	NA	400	2	0
180	2004	1.8344	0.7283	1.4919	1.4215	1.2636	0.212	16.3	100	2	1
181	2004	0.6753	0.0409	0.7561	0.3249	1.6417	0	20.25	200	2	1
182	2004	0.9165	0.0829	0.8809	0.3980	1.2339	0.2735	17.3	600	2	0
183	2004	1.7959	0.4127	1.5270	1.0993	1.1992	0.2845	21.3	600	2	1
184	2004	1.5407	0.2873	1.1723	0.6704	1.5996	0.4365	20.7	100	2	1
185	2004	1.0637	0.3085	0.6073	0.5898	1.2723	0.1505	18.8	0	2	1
186	2004	1.4584	0.1261	1.1313	1.0880	1.6074	0.299	18.65	200	2	1
187	2004	1.1850	0.2167	0.9049	0.8900	1.2630	0.033	19.4	300	2	1
188	2004	0.9311	0.1526	1.2046	0.4364	1.0314	0.174	17.2	700	2	1
189	2004	1.1787	0.1552	0.9281	1.3573	1.4617	0.2705	18.4	200	2	1
190	2004	0.6525	0.2179	0.7744	0.1788	1.4464	0.273	16.05	500	2	1
