Site	SiteName	Latitude	Longitude	Carbon1m	Nitrogen1m	Clay	EM	NetPrimProduction	Temperature	Precipitation	Biome
133	BT11	9.1253	-79.8853	7.48	0.67	60.3	0	870.1	26.575	2561	tropicalforest
134	BT12	9.2115	-79.5998	24.71	1.84	53.9	0	973.3	26.21667	2453	tropicalforest
135	BT13	8.9946	-79.5430	10.51	0.90	24.1	0	907.2	26.95	1865	tropicalforest
136	BT14	9.3325	-79.9541	11.44	1.12	61.9	0	947.6	26.69167	3210	tropicalforest
137	BT15	9.3230	-79.9621	13.31	1.11	62.9	0	943.1	26.53333	3291	tropicalforest
138	BT16	9.2603	-79.9560	11.69	1.18	17.8	0	933.3	26.60833	3097	tropicalforest
139	BT17	9.2580	-79.9529	7.85	0.80	8.5	0	911.9	26.60833	3097	tropicalforest
140	BT18	9.1568	-79.7517	11.66	1.07	60.5	0	908.6	26.39167	2499	tropicalforest
141	BT19	9.1565	-79.7442	8.16	0.80	23.5	0	932.1	26.325	2437	tropicalforest
142	BT2	8.9906	-79.5675	7.33	0.58	46.9	0	571	26.95	1865	tropicalforest
143	BT20	9.1609	-79.7427	6.92	0.63	45.7	0	894	26.325	2437	tropicalforest
144	BT21	9.1683	-79.7464	9.44	0.85	55.3	0	916	25.65833	2598	tropicalforest
145	BT22	9.1688	-79.7407	8.45	0.77	39.0	0	882	25.65833	2598	tropicalforest
146	BT23	9.1446	-79.8587	9.61	0.88	64.7	0	911.1	26.5	2549	tropicalforest
147	BT24	9.1449	-79.8779	17.02	2.06	75.9	0	650.2	26.575	2561	tropicalforest
148	BT27	9.1582	-79.8612	15.43	1.40	82.7	0	924.6	26.5	2549	tropicalforest
149	BT28	9.1618	-79.7453	10.94	1.01	36.4	0	894	26.325	2437	tropicalforest
150	BT29	9.1467	-79.7125	12.88	1.04	57.0	0	939.8	26.325	2437	tropicalforest
151	BT3	9.0852	-79.6077	14.89	1.17	37.4	0	956.1	26.1	2185	tropicalforest
152	BT30	9.1518	-79.7158	7.86	0.76	31.0	0	961.9	26.325	2437	tropicalforest
153	BT31	9.1435	-79.8825	10.17	0.81	70.0	0	650.2	26.575	2561	tropicalforest
154	BT32	9.1992	-79.7741	10.20	0.82	66.3	0	921.1	26.06667	2641	tropicalforest
155	BT33	9.1903	-79.7643	11.33	1.08	76.5	0	925.1	26.06667	2641	tropicalforest
156	BT34	9.1415	-79.6935	7.01	0.72	49.4	0	914.6	26.30833	2341	tropicalforest
157	BT35	9.1479	-79.6931	7.99	0.81	61.8	0	939.5	26.30833	2341	tropicalforest
158	BT36	9.1217	-79.6731	7.50	0.54	65.2	0	886.6	26.41667	2247	tropicalforest
159	BT37	9.1237	-79.6767	12.11	1.05	64.1	0	943.1	26.41667	2247	tropicalforest
160	BT38	9.0785	-79.7989	8.02	0.71	39.4	0	898.4	26.575	2342	tropicalforest
161	BT39	9.0765	-79.7869	11.45	1.02	59.7	0	915.3	26.425	2363	tropicalforest
162	BT4	8.9267	-79.6232	10.42	0.85	56.1	0	842.2	26.675	1945	tropicalforest
163	BT40	9.0805	-79.6451	6.27	0.53	49.5	0	956.7	26.375	2170	tropicalforest
164	BT41	9.0865	-79.6424	11.52	1.11	65.7	0	910.9	25.975	2286	tropicalforest
165	BT42	9.3558	-79.7269	7.99	0.79	56.4	0	905.7	25.06667	3105	tropicalforest
166	BT43	9.2809	-79.9747	10.09	0.70	78.2	0	934.8	26.23333	3187	tropicalforest
167	BT44	8.65479	-82.21465	20.94	2.15	46.6	0	744.8	22.08333	3371	tropicalforest
168	BT45	8.74944	-82.22945	24.13	2.04	37.4	0	755.6	20.45833	3053	tropicalforest
169	BT46	8.74944	-82.22945	13.27	0.72	15.7	0	755.6	20.45833	3053	tropicalforest
170	BT47	8.74944	-82.22945	51.21	2.71	17.1	0	755.6	20.45833	3053	tropicalforest
171	BT48	8.75312	-82.23907	26.74	1.66	44.1	1	773	19.45833	2705	tropicalforest
172	BT49	8.75689	-82.24076	16.97	1.12	26.1	1	773	19.45833	2705	tropicalforest
173	BT5	9.2031	-79.3622	12.83	1.14	79.6	0	938.3	24.6	2844	tropicalforest
174	BT50	8.67389	-82.21416	15.45	1.41	47.1	0	738.2	20.35833	2942	tropicalforest
