sample,trt,block,pot,days,no3,nh4,faa,tdn,doc
15NSS_205,K,1,5,14,114.35,0.14,0.151,120.88,137.24
15NSS_206,K,2,21,14,401.79,0.17,0.283,446.76,284.24
15NSS_207,K,3,33,14,206.32,0.15,0.147,219.35,119.81
15NSS_208,K,4,37,14,272.81,0.14,0.219,357.89,215.42
15NSS_209,K,5,52,14,181.2,0.13,0.151,222.75,164.58
15NSS_210,K,6,66,14,143.9,0.18,0.201,181.32,142.63
15NSS_211,L,1,4,14,91.81,0.13,0.129,101.87,166.56
15NSS_212,L,2,16,14,97.72,0.13,0.099,125.63,99.81
15NSS_213,L,3,34,14,64.93,0.13,0.144,76.74,135.25
15NSS_214,L,4,45,14,116.19,0.13,0.108,137.18,121.69
15NSS_215,L,5,49,14,42.61,0.14,0.208,48.9,87.28
15NSS_216,L,6,67,14,96.99,0.14,0.126,115.45,123.12
15NSS_217,A,1,11,21,138.36,0.14,0.115,122.25,131.04
15NSS_218,A,2,24,21,116.71,0.14,0.139,108.95,180.05
15NSS_219,A,3,30,21,32,0.14,0.136,36.81,174.78
15NSS_220,A,4,42,21,112.41,0.14,0.091,101.79,96.66
15NSS_221,A,5,53,21,19.39,0.14,0.093,24.54,113.36
15NSS_222,A,6,68,21,38.3,0.24,0.135,35.7,80.64
15NSS_223,B,1,9,21,136.14,0.14,0.121,124.81,135.53
15NSS_224,B,2,13,21,44.15,0.14,0.079,45.51,73.13
15NSS_225,B,3,28,21,79.46,0.14,0.098,69.56,117.89
15NSS_226,B,4,38,21,53.15,0.14,0.094,55.74,104.52
15NSS_227,B,5,58,21,31.1,0.14,0.102,38.86,116.31
15NSS_228,B,6,70,21,81.61,0.14,0.08,70.72,83.49
15NSS_229,C,1,10,21,94.77,0.14,0.117,83.88,135.21
15NSS_230,C,2,15,21,66.21,0.15,0.115,65.46,120.24
15NSS_231,C,3,32,21,68.31,0.15,0.108,74.67,117.89
15NSS_232,C,4,40,21,102.38,0.14,0.119,95.14,143.82
15NSS_233,C,5,55,21,26.75,0.14,0.08,29.65,85.26
15NSS_234,C,6,64,21,46.25,0.14,0.107,49.53,113.36
15NSS_235,D,1,6,21,58.56,0.14,0.093,57.28,121.45
15NSS_236,D,2,22,21,104.37,0.14,0.138,96.16,179.9
15NSS_237,D,3,26,21,55.25,0.14,0.085,52.16,107.36
15NSS_238,D,4,43,21,68.46,0.14,0.093,70.07,94.69
15NSS_239,D,5,56,21,194.78,0.14,0.126,194.39,135.96
15NSS_240,D,6,62,21,93.79,0.14,0.088,91.04,88.8
15NSS_241,E,1,2,21,38.75,0.14,0.064,37.33,66
15NSS_242,E,2,17,21,86.64,0.14,0.12,82.35,152.93
15NSS_243,E,3,35,21,24.64,0.14,0.109,27.61,119.26
15NSS_244,E,4,41,21,80.89,0.14,0.112,76.72,132.03
15NSS_245,E,5,57,21,281.39,0.14,0.179,275.73,196.88
15NSS_246,E,6,71,21,66.36,0.14,0.137,64.67,99.6
15NSS_247,F,1,1,21,30.95,0.14,0.09,35.68,98.08
15NSS_248,F,2,14,21,155.72,0.14,0.171,140.16,161.69
15NSS_249,F,3,27,21,76.95,0.15,0.215,67,130.54
15NSS_250,F,4,44,21,20.74,0.14,0.075,22.49,83.39
15NSS_251,F,5,54,21,62.46,0.14,0.105,60.86,103.54
15NSS_252,F,6,63,21,122.79,0.14,0.129,125.21,170.35
15NSS_253,G,1,7,21,118.78,0.14,0.115,103.32,133.88
15NSS_254,G,2,23,21,119.52,0.14,0.141,116.11,171.62
15NSS_255,G,3,31,21,152.52,0.14,0.115,138.62,157.92
15NSS_256,G,4,39,21,229.16,0.14,0.136,213.32,146.77
15NSS_257,G,5,51,21,57.21,0.14,0.086,53.19,95.67
15NSS_258,G,6,61,21,56,0.15,0.121,65.46,164.46
15NSS_259,H,1,8,21,138.36,0.14,0.154,138.11,167.71
15NSS_260,H,2,19,21,59.01,0.14,0.103,62.39,121.06
15NSS_261,H,3,29,21,102.02,0.14,0.146,84.39,174.78
15NSS_262,H,4,47,21,11.44,0.14,0.08,13.28,78.97
15NSS_263,H,5,59,21,6.49,0.14,0.126,14.3,118.27
15NSS_264,H,6,65,21,342.55,0.15,0.23,386.91,229.32
15NSS_265,I,1,3,21,30.35,0.14,0.074,29.14,81.94
15NSS_266,I,2,20,21,113.61,0.14,0.109,97.69,137.91
15NSS_267,I,3,25,21,287.12,0.14,0.15,287.5,181.73
15NSS_268,I,4,48,21,165.77,0.14,0.113,144.25,112.38
15NSS_269,I,5,50,21,94.86,0.14,0.096,86.95,107.47
15NSS_270,I,6,72,21,300.5,0.22,0.24,333.65,192.95
15NSS_271,J,1,12,21,310.06,0.14,0.168,316.15,179.9
15NSS_272,J,2,18,21,80.36,0.14,0.077,70.07,82.12
15NSS_273,J,3,36,21,234.53,0.14,0.136,222.53,136.94
15NSS_274,J,4,46,21,34.85,0.14,0.077,36.81,81.82
15NSS_275,J,5,60,21,149.66,0.14,0.158,144.25,190
15NSS_276,J,6,69,21,136.4,0.14,0.095,124.35,92.73
15NSS_277,K,1,5,21,38.15,0.14,0.089,39.37,95.21
15NSS_278,K,2,21,21,192.65,0.14,0.127,175.97,150.55
15NSS_279,K,3,33,21,247.78,0.15,0.115,226.11,131.59
15NSS_280,K,4,37,21,121.72,0.14,0.118,109.97,120.24
15NSS_281,K,5,52,21,139.63,0.14,0.133,133,160.53
15NSS_282,K,6,66,21,172.22,0.14,0.124,172.35,130.07
15NSS_283,L,1,4,21,72.51,0.14,0.171,74.67,159.44
15NSS_284,L,2,16,21,131.71,0.15,0.094,121.23,101.85
15NSS_285,L,3,34,21,15.79,0.14,0.08,21.15,121.06
15NSS_286,L,4,45,21,60.96,0.14,0.081,62.39,97.64
15NSS_287,L,5,49,21,44.75,0.14,0.066,16.83,68.75
15NSS_288,L,6,67,21,107.4,0.14,0.102,103.59,112.38
15NSS_289,A,1,11,28,26.6,0.12,0.138,30.94,178.11
15NSS_290,A,2,24,28,8.38,0.12,0.093,7.59,112.81
15NSS_291,A,3,30,28,1.62,0.11,0.146,6.29,187.82
15NSS_292,A,4,42,28,24.94,0.11,0.083,29.63,87.01
15NSS_293,A,5,53,28,0.65,0.12,0.119,11.98,153.02
15NSS_294,A,6,68,28,29.08,0.12,0.105,35.97,100.62
15NSS_295,B,1,9,28,86.27,0.11,0.149,86.72,190.46
15NSS_296,B,2,13,28,22.52,0.11,0.125,22.72,132.22
15NSS_297,B,3,28,28,41.92,0.11,0.104,43.48,112.81
15NSS_298,B,4,38,28,5.48,0.11,0.132,11.91,161.94
15NSS_299,B,5,58,28,1.76,0.11,0.199,16.05,187.58
15NSS_300,B,6,70,28,34.33,0.12,0.129,49.54,127.19
15NSS_301,C,1,10,28,22.74,0.11,0.155,26.61,188.7
15NSS_302,C,2,15,28,46.75,0.11,0.119,47.37,131.34
15NSS_303,C,3,32,28,29.64,0.11,0.099,27.48,104.87
15NSS_304,C,4,40,28,15.14,0.11,0.171,30.08,194.97
15NSS_305,C,5,55,28,2.72,0.11,0.101,10.17,93.52
15NSS_306,C,6,64,28,14.04,0.11,0.09,20.58,95.58
15NSS_307,D,1,6,28,28.81,0.11,0.083,27.91,88.99
15NSS_308,D,2,22,28,92,0.11,0.141,94.51,194.55
15NSS_309,D,3,26,28,47.58,0.12,0.115,51.26,121.64
15NSS_310,D,4,43,28,18.87,0.12,0.093,23.3,94.81
15NSS_311,D,5,56,28,186.9,0.11,0.163,193.45,133.66
15NSS_312,D,6,62,28,19.15,0.11,0.092,27.37,85.51
15NSS_313,E,1,2,28,94.86,0.11,0.143,94.08,161.34
15NSS_314,E,2,17,28,24.25,0.12,0.165,31.8,196.38
15NSS_315,E,3,35,28,0.52,0.11,0.117,7.59,139.42
15NSS_316,E,4,41,28,2.17,0.12,0.162,17.41,223.83
15NSS_317,E,5,57,28,228.45,0.11,0.16,241.42,195.22
15NSS_318,E,6,71,28,45.23,0.12,0.107,51.81,116.95
15NSS_319,F,1,1,28,3.57,0.11,0.116,3.26,120.75
15NSS_320,F,2,14,28,131.03,0.11,0.186,125.21,212.85
15NSS_321,F,3,27,28,24.12,0.12,0.1,24.45,113.69
15NSS_322,F,4,44,28,14.59,0.11,0.074,14.24,81.08
15NSS_323,F,5,54,28,3.69,0.11,0.145,11.08,89.07
15NSS_324,F,6,63,28,24.39,0.11,0.143,37.32,176.54
15NSS_325,G,1,7,28,103.46,0.11,0.152,101.86,176.34
15NSS_326,G,2,23,28,98.08,0.11,0.126,96.67,143.7
15NSS_327,G,3,31,28,8.8,0.11,0.084,7.15,92.52
15NSS_328,G,4,39,28,233.82,0.11,0.164,231.6,197.62
15NSS_329,G,5,51,28,10.18,0.12,0.089,16.96,91.18
15NSS_330,G,6,61,28,48.66,0.12,0.172,64.48,229.32
15NSS_331,H,1,8,28,47.02,0.11,0.16,53.43,171.93
15NSS_332,H,2,19,28,39.3,0.11,0.142,40.88,165.76
15NSS_333,H,3,29,28,15.7,0.11,0.18,22.29,214.68
15NSS_334,H,4,47,28,6.73,0.23,0.129,12.89,85.45
15NSS_335,H,5,59,28,2.03,0.12,0.162,16.51,203.7
15NSS_336,H,6,65,28,182.6,0.11,0.147,178.52,125.9
15NSS_337,I,1,3,28,15.14,0.11,0.111,14.94,127.81
15NSS_338,I,2,20,28,13.63,0.11,0.122,17.1,160.46
15NSS_339,I,3,25,28,91.64,0.12,0.143,91.91,154.28
15NSS_340,I,4,48,28,73.01,0.12,0.124,76.24,131.04
15NSS_341,I,5,50,28,50.2,0.12,0.118,65.38,125.17
15NSS_342,I,6,72,28,43.86,0.12,0.131,175.35,119.6
15NSS_343,J,1,12,28,93.79,0.11,0.112,90.18,133.11
15NSS_344,J,2,18,28,46.33,0.11,0.091,46.51,87.22
15NSS_345,J,3,36,28,44.13,0.12,0.096,46.51,107.79
15NSS_346,J,4,46,28,3.69,0.12,0.077,11.08,94.41
15NSS_347,J,5,60,28,39.71,0.12,0.12,53.62,143.45
15NSS_348,J,6,69,28,67.86,0.12,0.147,76.24,109.77
15NSS_349,K,1,5,28,34.05,0.11,0.139,39.59,174.58
15NSS_350,K,2,21,28,73.94,0.12,0.119,79.37,133.99
15NSS_351,K,3,33,28,121.36,0.11,0.125,111.81,107.52
15NSS_352,K,4,37,28,37.56,0.12,0.105,37.43,107.7
15NSS_353,K,5,52,28,55.03,0.12,0.142,71.72,155.98
15NSS_354,K,6,66,28,18.04,0.12,0.148,30.08,159.11
15NSS_355,L,1,4,28,4.24,0.12,0.122,6.72,163.11
15NSS_356,L,2,16,28,63.45,0.11,0.102,65.53,114.58
15NSS_357,L,3,34,28,2.86,0.11,0.098,5.86,156.05
15NSS_358,L,4,45,28,7.69,0.12,0.106,19.68,177.73
15NSS_359,L,5,49,28,0,0.12,0.069,5.19,69.94
15NSS_360,L,6,67,28,15.14,0.12,0.094,20.58,110.88
15NSS_361,A,1,11,35,0.78,0.11,0.213,37.45,486.36
15NSS_362,A,2,24,35,0.3,0.1,0.107,9.74,142.31
15NSS_363,A,3,30,35,0.14,0.1,0.087,4.97,102.67
15NSS_364,A,4,42,35,0.38,0.1,0.104,10.22,156.19
15NSS_365,A,5,53,35,0.3,0.1,0.134,13.57,201.87
15NSS_366,A,6,68,35,0.66,0.1,0.137,8.16,126.88
15NSS_367,B,1,9,35,0.98,0.11,0.157,17.87,245.8
15NSS_368,B,2,13,35,0.58,0.1,0.198,26.47,298.75
15NSS_369,B,3,28,35,0.34,0.1,0.107,8.79,137.36
15NSS_370,B,4,38,35,0.22,0.1,0.131,12.13,192.85
15NSS_371,B,5,58,35,0.5,0.1,0.171,19.78,275.5
15NSS_372,B,6,70,35,0.62,0.11,0.123,15.54,232.76
15NSS_373,C,1,10,35,0.34,0.11,0.163,18.82,254.95
15NSS_374,C,2,15,35,0.74,0.45,0.086,7.36,104.66
15NSS_375,C,3,32,35,0.62,0.1,0.194,28.85,403.54
15NSS_376,C,4,40,35,1.01,0.11,0.195,15,203.7
15NSS_377,C,5,55,35,0.14,0.1,0.08,5.45,113.57
15NSS_378,C,6,64,35,0.42,0.1,0.074,4.23,73.41
15NSS_379,D,1,6,35,0.42,0.1,0.152,16.91,246.14
15NSS_380,D,2,22,35,0.66,0.1,0.082,5.45,90.78
15NSS_381,D,3,26,35,0.34,0.1,0.066,4.49,79.19
15NSS_382,D,4,43,35,0.62,0.1,0.078,4.58,60.65
15NSS_383,D,5,56,35,10.72,0.1,0.134,22.17,177.99
15NSS_384,D,6,62,35,0.86,0.1,0.066,5.21,89.23
15NSS_385,E,1,2,35,1.65,0.1,0.161,21.21,272.52
15NSS_386,E,2,17,35,0.5,0.1,0.097,7.83,129.43
15NSS_387,E,3,35,35,0.22,0.1,0.104,8.79,139.34
15NSS_388,E,4,41,35,0.3,0.1,0.083,6.88,130.42
15NSS_389,E,5,57,35,4.86,0.1,0.172,21.21,214.68
15NSS_390,E,6,71,35,0.82,0.1,0.088,7.67,123
15NSS_391,F,1,1,35,0.3,0.1,0.11,10.22,154.21
15NSS_392,F,2,14,35,2.44,0.1,0.246,30.29,354.91
15NSS_393,F,3,27,35,0.3,0.1,0.12,10.7,158.17
15NSS_394,F,4,44,35,0.26,0.1,0.052,2.58,59.56
15NSS_395,F,5,54,35,0.22,0.1,0.062,3.53,62.24
15NSS_396,F,6,63,35,1.53,0.1,0.107,9.15,133.67
15NSS_397,G,1,7,35,0.98,0.1,0.171,19.78,271.97
15NSS_398,G,2,23,35,1.25,0.1,0.07,6.4,90.78
15NSS_399,G,3,31,35,0.5,0.1,0.07,5.45,86.12
15NSS_400,G,4,39,35,12.15,0.1,0.111,21.21,165.11
15NSS_401,G,5,51,35,0.38,0.1,0.09,7.36,120.51
15NSS_402,G,6,61,35,0.94,0.1,0.229,34.22,528.94
15NSS_403,H,1,8,35,1.73,0.1,0.143,7.83,96.73
15NSS_404,H,2,19,35,0.58,0.1,0.168,14.52,224.25
15NSS_405,H,3,29,35,0.62,0.1,0.093,4.97,96.73
